date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:00	6493/6493	---M--	200	added ('OK')	image/png	etag:%22195d-65316af9-d6b90f65375a704d;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/img-3.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/img-3.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:01	235541/235541	---M--	200	added ('OK')	image/png	etag:%2239815-65316af9-2863fdf4be44e4b6;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/fun-fact/world.png	html.hixstudio.net/technix-prv/technix/assets/img/fun-fact/world.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:01	10297/10297	---M--	200	added ('OK')	image/png	etag:%222839-65316af9-3b72a0344bb4355c;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/img-4.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/img-4.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:02	7952/7952	---M--	200	added ('OK')	image/png	etag:%221f10-65316af9-7452754d07ae897e;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/img-5.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/img-5.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:03	7744/7744	---M--	200	added ('OK')	image/png	etag:%221e40-65316af9-318fefb60d0e1f28;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/img-6.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/img-6.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:04	8496/8496	---M--	200	added ('OK')	image/png	etag:%222130-65316af9-e484c90a7707b2aa;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/img-7.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/img-7.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:05	7785/7785	---M--	200	added ('OK')	image/png	etag:%221e69-65316af9-bcaa6351a9346885;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/img-8.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/img-8.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:06	6350/6350	---M--	200	added ('OK')	image/png	etag:%2218ce-65316af9-cde5c1244300a487;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/img-9.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/img-9.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:08	119095/119095	---M--	200	added ('OK')	image/png	etag:%221d137-65316af9-294f77118a2fc7ed;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/shape-3.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/shape-3.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:09	7626/7626	---M--	200	added ('OK')	image/png	etag:%221dca-65316af9-bd6103a8d80e4491;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/shape-2.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/shape-2.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:09	159639/159639	---M--	200	added ('OK')	image/png	etag:%2226f97-65316af9-d6b43035de4cfa12;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/brand/img-1.png	html.hixstudio.net/technix-prv/technix/assets/img/brand/img-1.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:10	1535/1535	---M--	200	added ('OK')	image/png	etag:%225ff-65316af9-190616193ee80ed2;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/testimonial/shape-1.png	html.hixstudio.net/technix-prv/technix/assets/img/testimonial/shape-1.png	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:11	13842/13842	---M--	200	added ('OK')	image/jpeg	etag:%223612-65316af9-8d14c4dc0e418f87;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/testimonial/testimonial-bg.jpg	html.hixstudio.net/technix-prv/technix/assets/img/testimonial/testimonial-bg.jpg	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:12	59012/59012	---M--	200	added ('OK')	image/jpeg	etag:%22e684-65316af9-756dafe599986ef6;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/testimonial/user-1.jpg	html.hixstudio.net/technix-prv/technix/assets/img/testimonial/user-1.jpg	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:13	46373/46373	---M--	200	added ('OK')	image/jpeg	etag:%22b525-65316af9-5fa9d6dde6606b2f;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/testimonial/user-2.jpg	html.hixstudio.net/technix-prv/technix/assets/img/testimonial/user-2.jpg	(from https://html.hixstudio.net/technix-prv/technix/index.html)
14:14:14	48212/48212	---M--	200	added ('OK')	image/jpeg	etag:%22bc54-65316af9-6e4b3a69a8d000b2;;;%22	https://html.hixstudio.net/technix-prv/technix/assets/img/testimonial/user-3.jpg	html.hixstudio.net/technix-prv/technix/assets/img/testimonial/user-3.jpg	(from https://html.hixstudio.net/technix-prv/technix/index.html)
